epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.726,0.81531,2.86929,1.32881,0.19792,0.63123,0.28594,0.28395,0.17796,1.58009,0.28003,0.00332952,0.00332952,0.00332952
2,236.028,0.64141,1.8533,1.16785,0.28136,0.50301,0.35653,0.31517,0.47364,1.66727,0.46246,0.00653093,0.00653093,0.00653093
3,354.292,0.66476,1.78151,1.16112,0.17289,0.57305,0.22587,0.20719,0.52728,1.78999,0.59101,0.00960034,0.00960034,0.00960034
4,469.483,0.65363,1.71882,1.14765,0.18585,0.5209,0.24293,0.2004,0.48508,1.88152,0.54016,0.009406,0.009406,0.009406
5,582.726,0.57413,1.61045,1.10438,0.35531,0.4681,0.32085,0.26722,0.53979,1.63466,0.54091,0.009208,0.009208,0.009208
6,699.099,0.5252,1.53891,1.08408,0.35795,0.46634,0.35455,0.30063,0.44836,1.57255,0.4398,0.00901,0.00901,0.00901
7,815.692,0.48129,1.49107,1.06271,0.29713,0.54905,0.3759,0.32357,0.38565,1.44933,0.41762,0.008812,0.008812,0.008812
8,929.127,0.44841,1.45418,1.04983,0.3041,0.53019,0.39128,0.3618,0.33921,1.45367,0.3513,0.008614,0.008614,0.008614
9,1041.44,0.42837,1.42903,1.03985,0.31439,0.5571,0.41128,0.37237,0.36061,1.4147,0.36617,0.008416,0.008416,0.008416
10,1153.35,0.40501,1.40184,1.02973,0.3191,0.58323,0.43484,0.40701,0.28537,1.39829,0.27173,0.008218,0.008218,0.008218
11,1266.24,0.39485,1.38487,1.02642,0.38222,0.57875,0.44175,0.42266,0.31751,1.37437,0.33201,0.00802,0.00802,0.00802
12,1376.65,0.37871,1.36558,1.02006,0.36503,0.53806,0.43763,0.38759,0.39766,1.45982,0.37893,0.007822,0.007822,0.007822
13,1487.4,0.36329,1.34838,1.01232,0.46691,0.5503,0.49829,0.47677,0.27397,1.26857,0.25614,0.007624,0.007624,0.007624
14,1601.11,0.35293,1.32899,1.00908,0.4204,0.59248,0.50789,0.48482,0.28806,1.27487,0.28268,0.007426,0.007426,0.007426
15,1716.29,0.3473,1.32738,1.00578,0.42474,0.58331,0.51436,0.48295,0.31472,1.21932,0.30652,0.007228,0.007228,0.007228
16,1829.15,0.34029,1.31136,1.00515,0.4039,0.61673,0.53863,0.50711,0.33324,1.3304,0.33159,0.00703,0.00703,0.00703
17,1943.6,0.3281,1.29186,1.00026,0.53959,0.58842,0.57399,0.55677,0.32629,1.14663,0.29422,0.006832,0.006832,0.006832
18,2056.33,0.32323,1.28781,0.99567,0.43985,0.59166,0.53761,0.51039,0.30382,1.29002,0.29315,0.006634,0.006634,0.006634
19,2168.04,0.31321,1.2749,0.99608,0.56299,0.5597,0.5657,0.53632,0.34396,1.21329,0.34159,0.006436,0.006436,0.006436
20,2279.23,0.3102,1.26271,0.99283,0.53436,0.61381,0.61075,0.59651,0.26534,1.07534,0.2468,0.006238,0.006238,0.006238
21,2389.92,0.29952,1.2437,0.98676,0.52854,0.57508,0.57521,0.5544,0.27344,1.18199,0.27701,0.00604,0.00604,0.00604
22,2500,0.29061,1.23126,0.98347,0.53071,0.61643,0.6045,0.5861,0.24037,1.10838,0.23902,0.005842,0.005842,0.005842
23,2609.6,0.28992,1.22169,0.98211,0.55841,0.62956,0.63319,0.61908,0.2541,1.08373,0.23265,0.005644,0.005644,0.005644
24,2719.59,0.27776,1.20847,0.98036,0.56371,0.62337,0.62813,0.61317,0.25007,1.07038,0.23335,0.005446,0.005446,0.005446
25,2829.18,0.27796,1.20381,0.97974,0.55829,0.64913,0.63912,0.62515,0.23031,1.04441,0.22671,0.005248,0.005248,0.005248
26,2939.24,0.26981,1.19136,0.9774,0.58004,0.65692,0.66764,0.65416,0.24161,1.01578,0.22534,0.00505,0.00505,0.00505
27,3049.13,0.26526,1.18553,0.97094,0.60311,0.6153,0.64446,0.62437,0.30125,1.06328,0.27565,0.004852,0.004852,0.004852
28,3158.89,0.25876,1.17247,0.97342,0.59491,0.63577,0.66551,0.64456,0.24455,1.02105,0.23068,0.004654,0.004654,0.004654
29,3268.91,0.25721,1.16878,0.97174,0.59739,0.65939,0.67833,0.665,0.22492,1.02507,0.21384,0.004456,0.004456,0.004456
30,3379.28,0.25222,1.15324,0.9684,0.6131,0.65203,0.68441,0.66722,0.25453,1.00095,0.23074,0.004258,0.004258,0.004258
31,3489.57,0.24771,1.14629,0.96856,0.62645,0.65599,0.70988,0.69769,0.20063,0.96048,0.20281,0.00406,0.00406,0.00406
32,3599.1,0.24325,1.13841,0.9653,0.60973,0.65585,0.6916,0.6726,0.25235,0.99298,0.23625,0.003862,0.003862,0.003862
33,3708.8,0.23853,1.13041,0.96677,0.64284,0.66148,0.71471,0.70088,0.2186,0.9477,0.20671,0.003664,0.003664,0.003664
34,3818.92,0.23645,1.12093,0.96366,0.67879,0.66147,0.72559,0.71463,0.23535,0.91768,0.22514,0.003466,0.003466,0.003466
35,3928.8,0.23012,1.10979,0.96148,0.65199,0.66687,0.71812,0.70285,0.19894,0.94309,0.1942,0.003268,0.003268,0.003268
36,4037.4,0.22781,1.09482,0.96154,0.65454,0.67887,0.7284,0.71553,0.21852,0.91403,0.2066,0.00307,0.00307,0.00307
37,4146.11,0.22752,1.08487,0.96217,0.65301,0.66224,0.72353,0.70887,0.2114,0.9081,0.20124,0.002872,0.002872,0.002872
38,4254.89,0.22072,1.08678,0.95908,0.67364,0.67031,0.73822,0.72289,0.23292,0.91282,0.21865,0.002674,0.002674,0.002674
39,4364,0.21614,1.08109,0.95618,0.65016,0.71452,0.74871,0.73973,0.20817,0.87178,0.19019,0.002476,0.002476,0.002476
40,4473.4,0.20984,1.06685,0.9538,0.67875,0.69761,0.75778,0.74956,0.21465,0.8625,0.19663,0.002278,0.002278,0.002278
41,4582.23,0.05605,0.84379,0.91082,0.7387,0.69508,0.77705,0.77616,0.1479,0.81542,0.13861,0.00208,0.00208,0.00208
42,4688.75,0.03942,0.78716,0.90135,0.72741,0.71946,0.78618,0.78505,0.1398,0.79251,0.13242,0.001882,0.001882,0.001882
43,4795.74,0.03443,0.74413,0.89733,0.73164,0.72737,0.79243,0.79029,0.15858,0.80651,0.14779,0.001684,0.001684,0.001684
44,4902.57,0.03048,0.72031,0.8984,0.75205,0.73111,0.80037,0.79832,0.16128,0.79963,0.14839,0.001486,0.001486,0.001486
45,5009.92,0.0282,0.70156,0.89751,0.73763,0.74777,0.80277,0.79969,0.17475,0.80842,0.16212,0.001288,0.001288,0.001288
46,5116.52,0.02641,0.67573,0.89891,0.75522,0.73129,0.80682,0.80359,0.17197,0.78627,0.15607,0.00109,0.00109,0.00109
47,5223.68,0.02347,0.65977,0.89861,0.75662,0.73689,0.80948,0.80676,0.15719,0.7823,0.14278,0.000892,0.000892,0.000892
48,5331.35,inf,0.62702,0.89807,0.77048,0.7268,0.81264,0.81054,0.14596,0.78522,0.13289,0.000694,0.000694,0.000694
49,5439.4,0.0208,0.61485,0.89755,0.78308,0.71907,0.81454,0.81266,0.14176,0.78116,0.12881,0.000496,0.000496,0.000496
