epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.642,0.22361,1.07062,1.04693,0.7031,0.67992,0.75295,0.75155,0.19125,0.94056,0.25846,0.00333143,0.00333143,0.00333143
2,445.062,0.19881,1.00548,0.99489,0.70291,0.70642,0.77114,0.76692,0.2403,0.82868,0.33266,0.0065328,0.0065328,0.0065328
3,659.906,0.23291,1.08079,1.01742,0.62731,0.6606,0.69713,0.68666,0.308,0.95584,0.39068,0.00960217,0.00960217,0.00960217
4,873.528,0.26207,1.16573,1.03842,0.58003,0.64143,0.65563,0.65302,0.26498,1.08816,0.38581,0.009406,0.009406,0.009406
5,1088.17,0.26431,1.16499,1.04127,0.64332,0.64153,0.69095,0.67462,0.28096,1.03699,0.40213,0.009208,0.009208,0.009208
6,1301.58,0.25722,1.15485,1.03335,0.6443,0.67602,0.70841,0.70467,0.24172,1.00304,0.36147,0.00901,0.00901,0.00901
7,1514.55,0.24739,1.14897,1.0251,0.65428,0.62906,0.6982,0.69542,0.21246,1.01623,0.35161,0.008812,0.008812,0.008812
8,1727.74,0.24271,1.13537,1.02264,0.61184,0.61238,0.66387,0.66137,0.24216,1.03295,0.3532,0.008614,0.008614,0.008614
9,1940.26,0.24467,1.1331,1.0248,0.61315,0.67406,0.70895,0.70411,0.25429,0.96038,0.37133,0.008416,0.008416,0.008416
10,2151.92,0.23768,1.12775,1.02146,0.64717,0.67793,0.71831,0.71271,0.2643,0.91218,0.36145,0.008218,0.008218,0.008218
11,2363.61,0.23678,1.12543,1.02223,0.64515,0.68287,0.73013,0.70011,0.25793,1.02414,0.38785,0.00802,0.00802,0.00802
12,2574.36,0.22953,1.10983,1.01483,0.67924,0.67313,0.74096,0.73988,0.22996,0.88067,0.3392,0.007822,0.007822,0.007822
13,2786.72,0.22799,1.11271,1.01468,0.69465,0.66635,0.74662,0.74416,0.25116,0.81167,0.34229,0.007624,0.007624,0.007624
14,2999.61,0.22407,1.11386,1.01357,0.69961,0.67898,0.75132,0.7497,0.20456,0.85995,0.29641,0.007426,0.007426,0.007426
15,3212.37,0.22476,1.09629,1.01252,0.68009,0.72036,0.76206,0.75996,0.24194,0.83745,0.32196,0.007228,0.007228,0.007228
16,3424.06,0.21741,1.08283,1.01026,0.70925,0.69409,0.76491,0.761,0.24213,0.85703,0.33256,0.00703,0.00703,0.00703
17,3636.17,0.20658,1.08369,1.00031,0.68912,0.69582,0.76331,0.76303,0.2073,0.84351,0.29153,0.006832,0.006832,0.006832
18,3848.51,0.21121,1.07323,1.00599,0.68074,0.7074,0.77114,0.76866,0.22605,0.86713,0.31405,0.006634,0.006634,0.006634
19,4060.75,0.20739,1.06386,0.99922,0.74302,0.68758,0.78379,0.78192,0.27642,0.83374,0.36579,0.006436,0.006436,0.006436
20,4272.46,0.20288,1.05351,0.99557,0.72795,0.69444,0.77847,0.77664,0.22396,0.82814,0.30578,0.006238,0.006238,0.006238
21,4483.33,0.20014,1.04815,0.99601,0.72563,0.71963,0.79566,0.79327,0.22032,0.81298,0.31939,0.00604,0.00604,0.00604
22,4695.37,0.19992,1.04536,0.99572,0.73675,0.71184,0.78793,0.7871,0.24375,0.8061,0.34463,0.005842,0.005842,0.005842
23,4907.13,0.19565,1.03264,0.99373,0.71888,0.73994,0.79294,0.79148,0.23092,0.73996,0.31982,0.005644,0.005644,0.005644
24,5118.51,0.19222,1.02618,0.99182,0.73067,0.73076,0.80088,0.80047,0.24032,0.77522,0.32031,0.005446,0.005446,0.005446
25,5328.68,0.1917,1.02021,0.99165,0.72044,0.73641,0.80414,0.80391,0.18667,0.7224,0.27064,0.005248,0.005248,0.005248
26,5538.9,0.18834,1.00492,0.98725,0.76941,0.69813,0.79514,0.79421,0.19451,0.78188,0.26596,0.00505,0.00505,0.00505
27,5750.31,0.18635,1.01504,0.98906,0.73868,0.72064,0.80094,0.7992,0.1879,0.76836,0.27484,0.004852,0.004852,0.004852
28,5960.61,0.18109,1.00234,0.98308,0.75614,0.72992,0.81235,0.81194,0.21964,0.73599,0.305,0.004654,0.004654,0.004654
29,6171.04,0.17735,0.98642,0.98343,0.73737,0.74267,0.80908,0.80893,0.17966,0.72221,0.25798,0.004456,0.004456,0.004456
